genes	predicted_functions
cops5	uberon_0002103:0.0142053519534
itpr2	uberon_0002103:0.059987543249
2610002m06rik	uberon_0002103:0.00251649741557
10090.ensmusp00000074994	uberon_0002103:0.56736970535
rfc3	uberon_0002103:4.06518612427
mpv17l2	uberon_0002103:0.0751027663593
dctn2	uberon_0002103:0.182103136547
rpgrip1l	uberon_0002103:5.07531670651
dctn1	uberon_0002103:0.0322316511487
dctn6	uberon_0002103:0.00752383174246
dctn4	uberon_0002103:0.0041325155492
dctn5	uberon_0002103:0.0738145522307
wdr7	uberon_0002103:0.0375513831796
wdr6	uberon_0002103:0.0375513831796
wdr5	uberon_0002103:0.00924253441566
wdr4	uberon_0002103:0.300411065437
wwp2	uberon_0002103:16.5373660464
vamp2	uberon_0002103:3.74498812886
wdr1	uberon_0002103:3.33596177437
wwp1	uberon_0002103:28.0920793879
wdr8	uberon_0002103:0.0375513831796
tg(amh-smad2*)2tkw	uberon_0002103:0.187756915898
celf6	uberon_0002103:0.059987543249
dync2li1	uberon_0002103:1.58491439303
bcl10	uberon_0002103:2.23966048099
skmw16	uberon_0002103:396.159903403
tg(h-2k1-lrp5/fkbp1a,-luc*)#dmps	uberon_0002103:0.600822130874
smarcc2	uberon_0002103:0.00678767921724
knstrn	uberon_0002103:1.81312977968
smarcc1	uberon_0002103:2.05599944527
gm10020	uberon_0002103:3.74498812886
dpcd	uberon_0002103:0.525719364515
sohlh1	uberon_0002103:1.8400177758
gm10029	uberon_0002103:6.099217492
mks1	uberon_0002103:1.40128784926
tpbg	uberon_0002103:0.155379203611
ldlrad4	uberon_0002103:0.0375513831796
pdia6	uberon_0002103:0.195804201934
1110032a03rik	uberon_0002103:0.112654149539
ndrg2	uberon_0002103:14.4232497343
ndrg4	uberon_0002103:0.112654149539
5033414d02rik	uberon_0002103:0.0751027663593
sfrp2	uberon_0002103:296.142596696
sfrp1	uberon_0002103:44.6677852293
elp3	uberon_0002103:1.76491500944
sfrp4	uberon_0002103:145.556164617
sfrp5	uberon_0002103:21.0827545131
kdf1	uberon_0002103:1.62918325479
xiap	uberon_0002103:14.4497282489
stxbp1	uberon_0002103:1.70624025827
snapc2	uberon_0002103:1.30365012581
stxbp3	uberon_0002103:1.99022330852
stxbp2	uberon_0002103:2.5910454394
stxbp5	uberon_0002103:0.0215156181229
ube2g2	uberon_0002103:0.0566827379532
snapc5	uberon_0002103:0.150205532719
snapc4	uberon_0002103:9.79985408034
lgals1	uberon_0002103:9.36413751024
zfyve1	uberon_0002103:0.147329008488
nppb	uberon_0002103:14.4701952906
nppc	uberon_0002103:102.511723714
nppa	uberon_0002103:35.7292254441
olfr1301	uberon_0002103:0.375513831796
tg(kit*d814v)2roer	uberon_0002103:0.0375513831796
rd13	uberon_0002103:0.938784579491
olfr1302	uberon_0002103:0.375513831796
rd15	uberon_0002103:0.450616598156
rd14	uberon_0002103:1.08899011221
olfr1307	uberon_0002103:0.375513831796
supt7l	uberon_0002103:0.000190216768717
olfr1309	uberon_0002103:19.3765137207
olfr1308	uberon_0002103:0.375513831796
tas2r144	uberon_0002103:0.0561252040073
smtn	uberon_0002103:5.18748424549
mcg_12915	uberon_0002103:0.337962448617
tg(pcp2-atxn1*30q)2horr	uberon_0002103:1.57715809355
tas2r140	uberon_0002103:0.0561252040073
tas2r143	uberon_0002103:0.112654149539
l1cam	uberon_0002103:1.61556638925
ocln	uberon_0002103:51.6365062034
vasn	uberon_0002103:2.00939417317
apmt2	uberon_0002103:1.76491500944
cald1	uberon_0002103:0.826130429952
olfr866	uberon_0002103:19.3765137207
ccnb2	uberon_0002103:4.66205520073
ccnb1	uberon_0002103:2.92512863556
olfr862	uberon_0002103:0.375513831796
olfr860	uberon_0002103:0.375513831796
gm9994	uberon_0002103:0.0375513831796
txlng	uberon_0002103:0.0375513831796
txlnb	uberon_0002103:0.150205532719
olfr868	uberon_0002103:19.3765137207
olfr869	uberon_0002103:19.0761026553
tg(actb-edn1)1398clou	uberon_0002103:3.51379241886
il3ra	uberon_0002103:5.66737455615
hmgcll1	uberon_0002103:1.42695256083
nr1d1	uberon_0002103:13.3183560911
nr1d2	uberon_0002103:0.959098829523
eid1	uberon_0002103:0.0375513831796
2410089e03rik	uberon_0002103:31.1478688729
fam208a	uberon_0002103:0.150205532719
tg(myh6-egfp/ac3i)#mean	uberon_0002103:0.187756915898
elane	uberon_0002103:0.0902403245205
dld	uberon_0002103:3.33892035338
bsnd	uberon_0002103:0.959098829523
mirc21	uberon_0002103:0.337962448617
mhdakta29	uberon_0002103:3.34207310299
mhdakta28	uberon_0002103:3.34207310299
mhdakta26	uberon_0002103:3.34207310299
mhdakta24	uberon_0002103:3.34207310299
mhdakta21	uberon_0002103:3.34207310299
mhdakta20	uberon_0002103:3.34207310299
cep68	uberon_0002103:0.112654149539
olfr432	uberon_0002103:0.375513831796
dmpk	uberon_0002103:31.1478688729
cep63	uberon_0002103:0.874561771179
vnn3	uberon_0002103:0.525719364515
npepl1	uberon_0002103:0.0375513831796
vnn1	uberon_0002103:0.563270747695
col13a1	uberon_0002103:52.8852490256
tada1	uberon_0002103:0.0215156181229
vmn1r201	uberon_0002103:0.413065214976
tg(tramp)8247ng	uberon_0002103:0.600822130874
cst9	uberon_0002103:0.300411065437
nufip1	uberon_0002103:0.112654149539
bcam	uberon_0002103:4.80774991142
gnpnat1	uberon_0002103:0.671001111645
vars	uberon_0002103:0.378246470233
vmn2r77	uberon_0002103:0.525719364515
vmn2r76	uberon_0002103:0.300411065437
pycr2	uberon_0002103:0.0108239260946
tg(sod1*g37r)42dpr	uberon_0002103:24.667728898
c78339	uberon_0002103:0.225308299078
tg(notch1)a5rko	uberon_0002103:0.300411065437
tg(sox3-gfp,tyr)holnpln	uberon_0002103:0.0375513831796
olfr398	uberon_0002103:0.375513831796
olfr399	uberon_0002103:0.375513831796
b2b498clo	uberon_0002103:0.0375513831796
rab9b	uberon_0002103:0.375513831796
clspn	uberon_0002103:2.47897158704
olfr390	uberon_0002103:19.3765137207
olfr392	uberon_0002103:0.375513831796
uox	uberon_0002103:1.12654149539
olfr394	uberon_0002103:19.4140651039
olfr395	uberon_0002103:0.375513831796
b2b2736clo	uberon_0002103:0.0375513831796
olfr397	uberon_0002103:19.3765137207
mboat2	uberon_0002103:0.464790723703
mboat1	uberon_0002103:0.437280885589
mboat7	uberon_0002103:1.29687106137
kifap3	uberon_0002103:2.81284724617
mboat4	uberon_0002103:82.9276900291
folh1	uberon_0002103:1.31429841129
rccd1	uberon_0002103:0.300411065437
tg(jup)21pac	uberon_0002103:0.112654149539
xlr5b	uberon_0002103:0.0375513831796
f11	uberon_0002103:1.01388734585
cd53	uberon_0002103:0.225308299078
kif26a	uberon_0002103:0.0432957043782
olfr642	uberon_0002103:0.375513831796
pilra	uberon_0002103:0.204854544336
tnik	uberon_0002103:15.1388889244
olfr641	uberon_0002103:19.3765137207
olfr646	uberon_0002103:19.3765137207
olfr131	uberon_0002103:0.375513831796
olfr644	uberon_0002103:0.375513831796
olfr133	uberon_0002103:0.375513831796
olfr648	uberon_0002103:19.3765137207
olfr649	uberon_0002103:0.375513831796
olfr138	uberon_0002103:0.375513831796
olfr139	uberon_0002103:0.375513831796
pmel	uberon_0002103:1.33959611544
procr	uberon_0002103:0.204854544336
msrvh1	uberon_0002103:0.0751027663593
ube3c	uberon_0002103:34.1311548849
gmfb	uberon_0002103:0.563270747695
frs3	uberon_0002103:62.9044198902
frs2	uberon_0002103:50.500645044
rrm2b	uberon_0002103:0.275805876163
lhfpl5	uberon_0002103:0.850534945366
cftr	uberon_0002103:3.22341568052
gcsam	uberon_0002103:24.667728898
mlycd	uberon_0002103:0.675924897234
mdk	uberon_0002103:58.0977492695
naa15	uberon_0002103:0.713476280413
mir196b	uberon_0002103:1.53960671037
naa10	uberon_0002103:0.337962448617
naa11	uberon_0002103:0.300411065437
olfr1537-ps1	uberon_0002103:0.375513831796
gsdma3	uberon_0002103:0.0375513831796
dhx30	uberon_0002103:1.76491500944
cd200r1	uberon_0002103:0.00399168008288
kcnb2	uberon_0002103:0.150205532719
kcnb1	uberon_0002103:5.80859527036
fam53b	uberon_0002103:0.0375513831796
fam82b	uberon_0002103:1.62918325479
fam53a	uberon_0002103:0.112654149539
krt75	uberon_0002103:0.488167981335
krt74	uberon_0002103:0.0375513831796
krt76	uberon_0002103:0.112654149539
krt71	uberon_0002103:37.2820028818
lrrk1	uberon_0002103:200.072788486
lrrk2	uberon_0002103:33.6684193826
nefm	uberon_0002103:0.115064570666
nefl	uberon_0002103:10.9761876932
dst	uberon_0002103:13.3183560911
sms	uberon_0002103:1.07328634956
hnrnpu	uberon_0002103:4.61366452036
dsp	uberon_0002103:6.20028618865
smo	uberon_0002103:502.120056059
re	uberon_0002103:0.751027663593
serpina1a	uberon_0002103:0.0825365393326
hnrnpl	uberon_0002103:5.97066992556
col28a1	uberon_0002103:24.68917385
serpina1e	uberon_0002103:0.0751027663593
dse	uberon_0002103:8.17359689964
hnrnpd	uberon_0002103:7.56862386887
aldh1l1	uberon_0002103:5.5696697156
hnrnpf	uberon_0002103:5.78291300967
mrm1	uberon_0002103:0.488167981335
sdc1	uberon_0002103:56.5991843909
cerbo	uberon_0002103:0.0751027663593
sdc3	uberon_0002103:19.1192241232
sdc4	uberon_0002103:69.4815495247
manln6	uberon_0002103:0.600822130874
g6pdx	uberon_0002103:0.00172067818085
grb2	uberon_0002103:98.0728187043
grb7	uberon_0002103:0.230129141331
batf3	uberon_0002103:0.200438781144
wfs1	uberon_0002103:0.337962448617
serpina12	uberon_0002103:0.525719364515
serpina10	uberon_0002103:0.0751027663593
lrig3	uberon_0002103:4.52564848482
lrig2	uberon_0002103:3.51379241886
lrig1	uberon_0002103:24.596546932
zfp53	uberon_0002103:0.0375513831796
rlim	uberon_0002103:1.21524987598
atm	uberon_0002103:3.93218777416
nmral1	uberon_0002103:0.751027663593
riiad1	uberon_0002103:0.300411065437
nox1	uberon_0002103:15.563003689
zfp609	uberon_0002103:0.0751027663593
nox3	uberon_0002103:7.78150184451
adap2	uberon_0002103:0.150205532719
atr	uberon_0002103:26.2587299187
nox4	uberon_0002103:48.1804410635
mima4	uberon_0002103:24.667728898
pgs1	uberon_0002103:0.000380433537433
sh3pxd2b	uberon_0002103:5.38276337557
sh3pxd2a	uberon_0002103:10.0010612945
top3a	uberon_0002103:1.42405381151
top3b	uberon_0002103:0.0923414422684
gm20509	uberon_0002103:8.20332793939
wapal	uberon_0002103:3.8677924675
spsb1	uberon_0002103:0.688652034268
fabp6	uberon_0002103:0.600822130874
fabp7	uberon_0002103:2.10287745806
fabp4	uberon_0002103:0.146372177044
fabp5	uberon_0002103:0.762118045285
fabp2	uberon_0002103:0.855749802572
wasl	uberon_0002103:0.637956373642
1190002n15rik	uberon_0002103:0.155379203611
fabp1	uberon_0002103:0.277762075957
pdia3	uberon_0002103:1.68522333178
ngef	uberon_0002103:0.0919352920544
ncor2	uberon_0002103:53.7630474079
ncor1	uberon_0002103:29.6635631006
dis3l2	uberon_0002103:0.000573559393618
il18	uberon_0002103:48.360904397
il19	uberon_0002103:6.95948832427
thap11	uberon_0002103:0.187756915898
tjp3	uberon_0002103:0.0231308629172
il10	uberon_0002103:222.937083783
il11	uberon_0002103:9.68208844322
il13	uberon_0002103:85.2618228704
pde3a	uberon_0002103:1.00902792993
tg(teto-sptbn2*)#lpwr	uberon_0002103:0.306280528759
il16	uberon_0002103:1.20164426175
pde3b	uberon_0002103:0.378246470233
hist1h1t	uberon_0002103:0.225308299078
ottmusg00000011355	uberon_0002103:0.788579046773
ush1c	uberon_0002103:0.512328924241
4921509c19rik	uberon_0002103:0.300411065437
bmd7	uberon_0002103:0.337962448617
ush1g	uberon_0002103:0.00114711878724
asap2	uberon_0002103:0.150205532719
asap3	uberon_0002103:0.112654149539
lcmt1	uberon_0002103:0.450616598156
tg(wap-tsg101)4389kuw	uberon_0002103:1.76491500944
tfrc	uberon_0002103:5.33482631699
lcmt2	uberon_0002103:0.112654149539
gm7293	uberon_0002103:8.27311170415
gm7742	uberon_0002103:0.262859682258
olfr1152	uberon_0002103:19.3765137207
sult1c1	uberon_0002103:0.262859682258
e4f1	uberon_0002103:15.1388889244
lpar2	uberon_0002103:1.34247812045
med30	uberon_0002103:3.65650501528
tg(waptag)1knw	uberon_0002103:1.76491500944
slc6a12	uberon_0002103:0.0375513831796
cyp2r1	uberon_0002103:4.80774991142
slc6a11	uberon_0002103:2.0671707558
aqp6	uberon_0002103:0.638373514054
aqp7	uberon_0002103:0.713476280413
aqp4	uberon_0002103:1.07328634956
aqp5	uberon_0002103:0.155379203611
aqp2	uberon_0002103:0.33014615733
aqp3	uberon_0002103:7.4284542333
aqp1	uberon_0002103:7.09737082253
lpar6	uberon_0002103:1.31184265677
spata30	uberon_0002103:0.788438370711
aqp8	uberon_0002103:1.99022330852
aqp9	uberon_0002103:0.713476280413
rtdr1	uberon_0002103:0.0375513831796
tulp3	uberon_0002103:59.6007985422
polrmt	uberon_0002103:0.187756915898
il1a	uberon_0002103:34.167068079
il1b	uberon_0002103:34.8184148415
cox7a2l	uberon_0002103:0.150205532719
tg(cmv-gfp,-smarcc2,-lacz)#stoy	uberon_0002103:0.187756915898
fuca1	uberon_0002103:0.0375513831796
fuca2	uberon_0002103:0.0375513831796
ate1	uberon_0002103:6.9893799878
mord3	uberon_0002103:1.08899011221
farp2	uberon_0002103:2.59374212274
ptpn12	uberon_0002103:5.88249873629
unc5b	uberon_0002103:0.677231830695
unc5c	uberon_0002103:0.855749802572
unc5a	uberon_0002103:24.3870645178
bcl11a	uberon_0002103:2.90429763518
rps6ka2	uberon_0002103:3.07523607122
unc5d	uberon_0002103:1.33959611544
bcl11b	uberon_0002103:27.3514257005
fastk	uberon_0002103:0.150205532719
aprt	uberon_0002103:3.94289523386
tg(vil1-lin28b,-tdtomato)loaru	uberon_0002103:0.600822130874
hug	uberon_0002103:0.337962448617
hpca	uberon_0002103:0.0645468543686
secisbp2	uberon_0002103:0.536643174781
bdp1	uberon_0002103:1.31429841129
il1rapl1	uberon_0002103:0.00114711878724
bcar1	uberon_0002103:17.4262423127
bcar3	uberon_0002103:0.112654149539
ncbp1	uberon_0002103:11.7218339278
nkd1	uberon_0002103:2.59374212274
ndufa7	uberon_0002103:2.96655927119
sec11c	uberon_0002103:0.450616598156
nkd2	uberon_0002103:0.150205532719
deptor	uberon_0002103:0.427874901286
ndufa3	uberon_0002103:2.66614820575
ndufa1	uberon_0002103:2.81635373847
rhcg	uberon_0002103:0.525719364515
olfr1155	uberon_0002103:19.3765137207
arl3	uberon_0002103:1.8609938115
asxl2	uberon_0002103:7.02758483771
crtac1	uberon_0002103:0.0375513831796
1700024p04rik	uberon_0002103:0.881193451149
ndufa8	uberon_0002103:3.41717586935
mpc190h	uberon_0002103:3.45472725253
fech	uberon_0002103:1.12654149539
pnp	uberon_0002103:2.81635373847
jagn1	uberon_0002103:0.0751027663593
mapkapk5	uberon_0002103:1.4950170331
hist1h1c	uberon_0002103:0.187756915898
mapkapk3	uberon_0002103:9.98209818896
mapkapk2	uberon_0002103:17.6261380405
tg(ins2-chrm3*)1jwe	uberon_0002103:0.150205532719
trim72	uberon_0002103:4.68206875512
trim71	uberon_0002103:0.669798057722
mxi1	uberon_0002103:0.0751027663593
hist3h2ba	uberon_0002103:0.716692243397
fgg	uberon_0002103:13.2741930286
kdm2a	uberon_0002103:0.578002208233
gm11128	uberon_0002103:0.150205532719
tg(snca-snca)#galt	uberon_0002103:0.375513831796
casp8ap2	uberon_0002103:0.337962448617
rgsc241	uberon_0002103:3.34207310299
gm14443	uberon_0002103:24.667728898
gm14446	uberon_0002103:0.112654149539
gpa33	uberon_0002103:0.225308299078
tbc1d4	uberon_0002103:8.0786457714
aadat	uberon_0002103:0.863681813132
gtf2e2	uberon_0002103:2.47897158704
heatr2	uberon_0002103:0.150205532719
jam2	uberon_0002103:0.00727209547848
heatr1	uberon_0002103:3.26669730344
sgcg	uberon_0002103:110.782605006
sgce	uberon_0002103:39.1706547295
camp	uberon_0002103:0.427874901286
sgcb	uberon_0002103:96.2421277908
sgca	uberon_0002103:103.58816846
lpp	uberon_0002103:3.35352796163
lpo	uberon_0002103:1.68981224308
lpl	uberon_0002103:16.0294092535
prkaca	uberon_0002103:7.62602269738
sgcz	uberon_0002103:56.9509576188
prkacb	uberon_0002103:19.0295228784
grip1	uberon_0002103:14.4701952906
grip2	uberon_0002103:0.0375513831796
kdr	uberon_0002103:146.829725168
dscc1	uberon_0002103:0.874561771179
cr1l	uberon_0002103:0.450616598156
pnn	uberon_0002103:2.59374212274
polr3gl	uberon_0002103:1.13866961901
tg(ins2-glud1*h454y)1csta	uberon_0002103:0.150205532719
gm498	uberon_0002103:0.42499988453
wdpcp	uberon_0002103:0.115064570666
ufl1	uberon_0002103:0.300411065437
strn4	uberon_0002103:0.525719364515
ralgps2	uberon_0002103:6.15079686422
strn3	uberon_0002103:0.450616598156
bglap2	uberon_0002103:415.325894392
tktl1	uberon_0002103:1.43761031614
tktl2	uberon_0002103:1.07356316553
tg(rbp3-elovl4*)2kzh	uberon_0002103:2.44083990668
tmem211	uberon_0002103:0.0375513831796
dhtkd1	uberon_0002103:1.42695256083
scgn	uberon_0002103:0.075160625996
slc39a3	uberon_0002103:0.0825365393326
nucb2	uberon_0002103:0.0375513831796
m574ddg	uberon_0002103:0.112654149539
actbl2	uberon_0002103:0.637733619551
ptpn14	uberon_0002103:6.9893799878
sh3gl2	uberon_0002103:7.99918884099
npm1	uberon_0002103:1.52584901928
papd4	uberon_0002103:0.300411065437
npm2	uberon_0002103:0.375513831796
tti2	uberon_0002103:0.0375513831796
tti1	uberon_0002103:0.338615915348
tg(ins2-hbegf)5rin	uberon_0002103:0.413065214976
mkks	uberon_0002103:12.0136094211
ptgr1	uberon_0002103:0.0375513831796
olfr1043	uberon_0002103:0.375513831796
cd80	uberon_0002103:15.9834882782
1300001i01rik	uberon_0002103:0.450616598156
srpr	uberon_0002103:1.42695256083
gm15319	uberon_0002103:0.112654149539
mhdaali031	uberon_0002103:0.113365475906
gucy2c	uberon_0002103:11.1974961392
gucy2d	uberon_0002103:0.555524151915
gucy2e	uberon_0002103:2.40860438843
gucy2f	uberon_0002103:3.07921342073
casq2	uberon_0002103:21.9833126781
scg5	uberon_0002103:1.66798088719
tg(amelx-lrap)9gibs	uberon_0002103:1.20164426175
scg2	uberon_0002103:0.150205532719
ric1	uberon_0002103:1.6522608599
olfr50	uberon_0002103:0.375513831796
hspd1	uberon_0002103:4.57270827171
olfr52	uberon_0002103:0.375513831796
olfr53	uberon_0002103:0.375513831796
olfr54	uberon_0002103:0.375513831796
tom1l2	uberon_0002103:4.88754976436
uqcrh	uberon_0002103:1.77862463049
eif2s3x	uberon_0002103:2.80794336621
p2ry2	uberon_0002103:0.157804754934
epcam	uberon_0002103:34.82996346
p2ry1	uberon_0002103:0.0352154574292
p2ry6	uberon_0002103:1.33922208521
lce3f	uberon_0002103:0.0375513831796
p2ry4	uberon_0002103:0.00118656062484
wt1	uberon_0002103:109.64113046
lama2	uberon_0002103:22.8811758349
lama3	uberon_0002103:34.9468111464
vps35	uberon_0002103:0.0569391332879
lama5	uberon_0002103:64.0555052693
vps36	uberon_0002103:0.033837309086
vps39	uberon_0002103:0.525719364515
gfm1	uberon_0002103:6.23438662567
fosb	uberon_0002103:27.1086642944
ctnnbip1	uberon_0002103:40.1425238769
slc39a6	uberon_0002103:0.262859682258
pado	uberon_0002103:3.45472725253
triap1	uberon_0002103:0.112654149539
gm5071	uberon_0002103:0.187756915898
golgb1	uberon_0002103:1.01584774604
sra1	uberon_0002103:6.90870062814
gm5077	uberon_0002103:0.450616598156
faim	uberon_0002103:0.0375513831796
lce3c	uberon_0002103:0.300411065437
mien1	uberon_0002103:0.0751027663593
deb1	uberon_0002103:0.0375513831796
dpp3	uberon_0002103:0.112654149539
sowahb	uberon_0002103:0.0375513831796
arl5c	uberon_0002103:0.091576947656
emc10	uberon_0002103:0.337962448617
lamb2	uberon_0002103:47.8022450768
b2b2696clo	uberon_0002103:0.0375513831796
anapc1	uberon_0002103:2.97871210094
anapc2	uberon_0002103:2.17957614766
anapc5	uberon_0002103:2.90696431757
anapc4	uberon_0002103:1.12408822939
anapc7	uberon_0002103:3.05056391479
dbndd2	uberon_0002103:0.0375513831796
ift172	uberon_0002103:33.9349137016
olfr1448	uberon_0002103:19.3765137207
gm5771	uberon_0002103:4.68206875512
ms4a18	uberon_0002103:0.0375513831796
m5anu	uberon_0002103:0.638373514054
olfr1449	uberon_0002103:0.375513831796
ddx19a	uberon_0002103:0.300411065437
ms4a10	uberon_0002103:0.0375513831796
hmgxb4	uberon_0002103:0.0375513831796
brs3	uberon_0002103:0.375513831796
ms4a13	uberon_0002103:0.059987543249
rttn	uberon_0002103:0.0751027663593
ddx19b	uberon_0002103:0.262859682258
ubap1	uberon_0002103:0.600822130874
gm16372	uberon_0002103:1.36374661568
met	uberon_0002103:148.646734391
cd83	uberon_0002103:4.93305522718
twnk	uberon_0002103:0.788579046773
ring1	uberon_0002103:1.07996425697
tmem161b	uberon_0002103:0.0375513831796
ptpn13	uberon_0002103:0.167809765056
ppp5c	uberon_0002103:48.8664977732
cog1	uberon_0002103:0.00407465591249
cnr1	uberon_0002103:2.55399156509
chil1	uberon_0002103:1.03853158328
spi1	uberon_0002103:58.3894898308
cog7	uberon_0002103:0.300411065437
